tunecache	1.1.0	1.1.0-e23cd7e4f-sm_86	cpu_arch=x86_64,gpu_arch=sm_86,cuda_version=12.2.140	# Last updated Fri May  9 21:48:22 2025

          volume	name	aux	block.x	block.y	block.z	grid.x	grid.y	grid.z	shared_bytes	aux.x	aux.y	aux.z	aux.w	time	comment
               1	N4quda7reducer11init_reduceIN4cuda3__46atomicIjLNS2_3std3__48__detail12thread_scopeE1EEEEE	GPU-offline,	32	1	1	1	1	1	0	-1	-1	-1	-1	3.40282e+38	# default
           18432	N4quda15TransformReduceINS_7maximumIfEENS_7complexIfEEjNS_8abs_max_IffEENS_8identityEEE	,batch_size=2	1024	1	1	10	1	2	0	-1	-1	-1	-1	6.4356e-06	# 0.00 Gflop/s, 45.83 GB/s, tuning took 0.020475 seconds at Wed Apr  2 17:24:44 2025
           18432	N4quda15TransformReduceINS_7maximumIfEENS_7complexIiEEjNS_8abs_max_IfiEENS_11milc_mapperEEE	,batch_size=2	256	1	1	39	1	2	0	-1	-1	-1	-1	6.64625e-06	# 0.00 Gflop/s, 44.37 GB/s, tuning took 0.021530 seconds at Wed Apr  2 17:24:43 2025
         1x2x2x2	N4quda10CopySpinorIffLi2ELi24ENS_11colorspinor12FieldOrderCBIfLi2ELi24ELi1EL16QudaFieldOrder_s2EffLb0ELb0EEES4_EE	GPU-offline,vol=8,parity=1,precision=4,order=2,Ns=2,Nc=24	320	1	1	1	2	24	0	-1	-1	-1	-1	1.89932e-06	# 0.00 Gflop/s, 3.23 GB/s, tuning took 0.011399 seconds at Wed Apr  2 17:24:50 2025
         1x2x2x2	N4quda12DslashCoarseIfssLi2ELi24ELb0ELb1ELb0ELNS_10DslashTypeE2EEE	policy_kernel,GPU-offline,vol=8,parity=1,precision=4,order=2,Ns=2,Nc=24,comm=0000,full,halo=00000000,n_rhs=1	64	1	2	1	1	24	4097	8	1	1	1	2.32732e-06	# 63.03 Gflop/s, 34.32 GB/s, tuning took 0.020569 seconds at Wed Apr  2 17:24:44 2025
         1x2x2x2	N4quda12DslashCoarseIfssLi2ELi24ELb1ELb0ELb0ELNS_10DslashTypeE2EEE	policy_kernel,GPU-offline,vol=8,parity=1,precision=4,order=2,Ns=2,Nc=24,comm=0000,full,halo=00000000,n_rhs=1	32	1	8	1	1	48	8192	4	4	1	1	3.61652e-06	# 325.97 Gflop/s, 170.74 GB/s, tuning took 0.031253 seconds at Wed Apr  2 17:24:44 2025
         1x2x2x2	N4quda22DslashCoarsePolicyTuneINS_18DslashCoarseLaunchINS_1DELb0ELi24ELb0ELi1EEEEE	policy,clover,vol=8,parity=1,precision=4,order=2,Ns=2,Nc=24,gauge_prec=2,halo_prec=2,comm=0000,topo=1111,p2p=0,gdr=0,nvshmem=0,pol=11110000000,full,n_rhs=1	32	1	1	1	1	1	0	2	0	0	0	3.00617e-06	# 48.80 Gflop/s, 26.57 GB/s, tuning took 0.003510 seconds at Wed Apr  2 17:24:44 2025
         1x2x2x2	N4quda22DslashCoarsePolicyTuneINS_18DslashCoarseLaunchINS_1DELb0ELi24ELb0ELi1EEEEE	policy,dslash,vol=8,parity=1,precision=4,order=2,Ns=2,Nc=24,gauge_prec=2,halo_prec=2,comm=0000,topo=1111,p2p=0,gdr=0,nvshmem=0,pol=11110000000,full,n_rhs=1	32	1	1	1	1	1	0	3	0	0	0	3.59993e-06	# 327.47 Gflop/s, 171.52 GB/s, tuning took 0.003688 seconds at Wed Apr  2 17:24:44 2025
         1x2x2x2	N4quda4blas10caxpyNorm2IdfEE	GPU-offline,vol=8,parity=1,precision=4,order=2,Ns=2,Nc=24,n_rhs=1	256	1	1	1	1	1	0	-1	-1	-1	-1	6.83886e-06	# 0.90 Gflop/s, 1.35 GB/s, tuning took 0.006305 seconds at Wed Apr  2 17:24:44 2025
         1x2x2x2	N4quda4blas11multicaxpy_IfEE	GPU-offline,vol=8,parity=1,precision=4,order=2,Ns=2,Nc=24,Nxz=4,Nyw=1	864	1	1	56	1	1	0	1	0	0	0	4.62869e-06	# 2.65 Gflop/s, 3.98 GB/s, tuning took 0.010164 seconds at Wed Apr  2 17:24:50 2025
         1x2x2x2	N4quda4blas12MaxDeviationIdfEE	GPU-offline,vol=8,parity=1,precision=4,order=2,Ns=2,Nc=24,n_rhs=1	256	1	1	1	1	1	0	-1	-1	-1	-1	6.98715e-06	# 0.00 Gflop/s, 0.88 GB/s, tuning took 0.006087 seconds at Wed Apr  2 17:24:44 2025
         1x2x2x2	N4quda4blas12TileSizeTuneINS0_9multiCdotES2_St7complexIdERKNS_10vector_refIKNS_16ColorSpinorFieldEEESA_SA_SA_EE	nested_policy,vol=8,parity=1,precision=4,order=2,Ns=2,Nc=24,vol=8,parity=1,precision=4,order=2,Ns=2,Nc=24,n=4,m=5,multi-blas-n=4,max_nyw_tile=8	32	1	1	1	1	1	0	4	5	0	0	1.08234e-05	# 0.00 Gflop/s, 0.00 GB/s, tuning took 0.021602 seconds at Wed Apr  2 17:24:50 2025
